File,Size (KB),Original Mean (ms),Selected Mean (ms),Original Median (ms),Selected Median (ms),Original Min (ms),Selected Min (ms),Original Max (ms),Selected Max (ms),Speedup,Faster (%),Data Identical
18_41mm Single Photon Laser 40_3.txt,32.8134765625,0.985418405616656,0.8454145863652229,0.7322505116462708,0.8031745092011988,0.7037210161797702,0.6555999862030149,2.57916800910607,1.10153597779572,1.1656037422459975,14.207550666137736,True
18_42mm Single Photon Laser 10.txt,32.8447265625,1.0403486958239228,0.7625061029102653,0.9884634928312153,0.7572539907414466,0.8501080446876585,0.6642600055783987,1.4948819880373776,0.8820950170047581,1.364380811974111,26.706679599729306,True
18_42mm Single Photon Laser 40.txt,32.8623046875,0.8110250055324286,0.7445360941346735,0.7639240357093513,0.7337175193242729,0.7192259654402733,0.6437969859689474,1.1226980132050812,0.9065399644896388,1.0893024689085504,8.198133342893167,True
18_42mm Single Photon Laser 40_3.txt,32.8154296875,0.8303848968353122,0.6331950949970633,0.7986699929460883,0.6166989915072918,0.7026729872450233,0.5979110137559474,1.1727040400728583,0.7636449881829321,1.3114202927285208,23.746795322236817,True
18_43mm Single Photon Laser 10.txt,32.849609375,0.8448001986835152,0.6273701088503003,0.8136859978549182,0.6208540289662778,0.6966670043766499,0.5982599686831236,1.154057972598821,0.7273969822563231,1.3465738752387657,25.73745723214135,True
18_43mm Single Photon Laser 40.txt,32.8623046875,0.7327329076360911,0.7238489983137697,0.7219490071292967,0.641771504888311,0.693314999807626,0.581218977458775,0.7877399912104011,1.3359239674173295,1.0122731527473503,1.2124348763019654,True
18_43mm Single Photon Laser 40_3.txt,32.8125,0.748782412847504,0.6711675086989999,0.7302605372387916,0.6138700118754059,0.6868189666420221,0.5889020394533873,0.9005330502986908,0.906819012016058,1.115641629164907,10.365481722967644,True
18_44mm Single Photon Laser 10.txt,32.849609375,0.7634629087988287,0.690715987002477,0.7461140339728445,0.6288154982030392,0.6926159840077162,0.5842919927090406,0.9315430070273578,1.065917022060603,1.1053210337754797,9.528546961214634,True
18_44mm Single Photon Laser 40.txt,32.86328125,0.7494526915252209,0.6690937094390392,0.7285139872692525,0.6492800021078438,0.7015559822320938,0.5951870116405189,0.907797017134726,0.8109970367513597,1.1201012368709216,10.722355526223007,True
18_44mm Single Photon Laser 40_3.txt,32.8095703125,0.8244761032983661,0.6916799058672041,0.7551235321443528,0.6279429944697767,0.7021839846856892,0.5878540105186403,1.1752190184779465,0.8759490447118878,1.1919908274112239,16.106736981205735,True
18_45mm Single Photon Laser 10.txt,32.849609375,0.7561505946796387,0.6882229004986584,0.7335080008488148,0.6515140121337026,0.6883549503982067,0.5954669904895127,0.8802100201137364,0.9252569871023297,1.0987001364409157,8.983355254750482,True
18_45mm Single Photon Laser 40.txt,32.8583984375,0.7454508042428643,0.6719916011206806,0.7262795115821064,0.6217269983608276,0.698064046446234,0.5886220023967326,0.905770983081311,0.8327870164066553,1.1093156566237967,9.85433280158499,True
18_45mm Single Photon Laser 40_3.txt,32.796875,0.7857773976866156,0.6835573934949934,0.7657049864064902,0.6475329864770174,0.713079993147403,0.5994469975121319,0.8825139957480133,0.8885209681466222,1.1495412165304462,13.008773794278778,True
18_46mm Single Photon Laser 40_3.txt,32.78515625,0.7843941973987967,0.6789059960283339,0.7498154882341623,0.6488950166385621,0.6947109941393137,0.6029399810358882,0.9640189819037914,0.8634469704702497,1.1553796873021878,13.448365849757957,True
18_47mm Single Photon Laser 40_3.txt,32.7890625,0.8319216140080243,0.6594483973458409,0.812009529909119,0.6215174798853695,0.7059550262056291,0.5831050220876932,1.008159015327692,0.9163880022242665,1.2615416420092256,20.731907160248376,True
18_48mm Single Photon Laser 40_3.txt,32.78515625,0.7566602958831936,0.7214604876935482,0.7342409808188677,0.6522829935420305,0.6920570158399642,0.5798919592052698,0.8970409980975091,1.3869079994037747,1.0487896548599305,4.651996197125588,True
18_49mm Single Photon Laser 40_3.txt,32.76953125,0.7397028966806829,0.8520286064594984,0.7111940067261457,0.8107870235107839,0.6878669955767691,0.6166989915072918,0.8732950082048774,1.154966012109071,0.8681667388544952,-15.18524670957245,True
18_50mm Single Photon Laser 40_3.txt,32.7685546875,0.7593282032757998,0.6783542863558978,0.7353934925049543,0.653329974738881,0.7048380211926997,0.5845020059496164,0.8861459791660309,0.8487809682264924,1.1193681805342335,10.663889023293782,True
